,product_name,manufacturer,price,product_description,euro
0,Lego City 2824: Advent Calendar 2010,LEGO,£43.87,"The holidays are coming to LEGO City, one gift at a time! Unwrap an adventure during the first 24 days of December! Countdown to the holidays with a new LEGO City minifigure, vehicle or accessory every morning! Deck the halls of LEGO City with buildable holiday novelties!Open a window containing a build for December 1st through December 24th! Includes 24 LEGO City themed gifts. Includes 6 minifigures. Builds inside including a Christmas tree, fireplace and Santa's train set. Features holiday accessories, furniture and lots of cool vehicles.",48.7
1,LEGO Friends 41016: Advent Calendar,LEGO,£24.95,"Product Description LEGO Friends Advent Calendar features 24 gifts, each enclosed in its own compartment in a LEGO Friends holiday-themed calendar. Includes Stephanie and Lily mini-doll figures. For 5 years and over. Box Contains Includes Stephanie and Lily mini-doll figures",27.69
2,LEGO Star Wars 75018: Jek-14's Stealth Starfighter,LEGO,£68.87,"Product Description LEGO® Star Wars™ Jek-14’s [TM] Stealth Starfighter features retractable landing gear, opening cockpit with space for a minifigure, folding wings, rotating and elevating blaster cannon, R4-G0™ astromech droid. Includes R4-G0 astromech droid and 3 minifigures with weapons. For 8 years and over. Box Contains Includes R4-G0 astromech droid 3 x minifigures with weapons:1 x Jek-14™1 x Separatist Bounty Hunter™ 1 x Special Forces Clone Trooper™",76.45
3,LEGO City 7687 Advent Calendar 2009,LEGO,£24.99,Manufacturer's Description 24 days of LEGO® City building fun! This advent calendar has nine minifigures included and many other cool accessories that make your LEGO City even more exciting.,27.74
4,LEGO Star Wars 75015: Corporate Alliance Tank Droid,LEGO,£39.99,Product Description LEGO® Star Wars™ Corporate Alliance Tank Droid[TM] features large track tire and 2 flick missiles. Includes 3 minifigures. For 7 years and over. Box Contains Includes 3 x minifigures:1 x Clone Trooper™1 x Jango Fett 1 x Battle Droid,44.39
5,LEGO City 7907: Advent Calendar,LEGO,£61.14,,67.87
6,Lego City 7553: Advent Calendar,LEGO,£49.90,"Lego 7553 - City - Advent Calendar It's Christmas time again ! Just make sure the robbers don't steal all the gifts and get away. Help the police catch the robbers using the cool snowmobile or the mini police car and make it another great Christmas again this year. The 24 individual gifts, including police and robber minifigures, are the perfect addition to your existing LEGO® sets and a great start to the festive holidays. Piece count : 232 pieces. Box dimensions : 38.2 cm x 26.2 cm x 7.1 cm.",55.39
7,Lego Kingdoms Advent Calendar 7952,LEGO,£69.99,Celebrate 24 December days full of medieval builds! There's a surprise in store for you every morning as you decorate the LEGO Kingdoms with new exclusive holiday accessories every day. Open each window containing a build for December 1st through December 24th!,77.69
8,Lego Castle Advent Calendar 7979 NEW / SEALED,LEGO,£65.48,Lego Castle Advent Calendar 7979 NEW / SEALED,72.68
9,LEGO Star Wars 9498: Saesee Tiin's Jedi Starfighter,LEGO,£45.81,"Jedi Master Saesee Tiin is patrolling for Separatist forces in his Jedi Starfighter, ready to go into battle with fellow Jedi Master Even Piell. As well as being extremely light and agile, Saesee Tiin’s green starfighter is equipped with 4 missiles, an R3-D5 droid and if the action gets a little too intense, a cockpit section detaches to become the Jedi Master’s very own escape pod. Includes 3 minifigures: Saesee Tiin, Astromech Droid R3-D5 and Even Piell.",50.85
